question,gold,GPT-3 generated,with_mem_learned_ir generated
What is unlike < alleviation > ?,the antonym for alleviation is aggravation,the synonym for alleviation is ease,the antonym for alleviation is irritation
what has a < hays > like ring to it ?,the homonym for hays is bays,a word with a hays like ring to it is: lacy,the homonym for hays is haze
give me something i would hear as < rabbit > ?,the homonym for rabbit is rabbet,"something you would hear as rabbit is: 'i'm gonna get you, you [ rabbit ]'",the homonym for rabbit is rap
What is the opposite of < civic > ?,the antonym for civic is private,the opposite of civic is rural,the antonym for civic is uncouth
give me something i would hear as < the > ?,the homonym for the is thee,something you would hear as the is: the the the the the the the the the the the the the,the homonym for the is thee
What is the opposite of < intercourse > ?,the antonym for intercourse is division,the antonym for intercourse is chastity,the antonym for intercourse is abstinence
what can one confuse with < weigh > ?,the homonym for weigh is aweigh,one can confuse weigh with waste,the homonym for weigh is way
give me something that contains < train > in it ?,a sentence with train is: passenger train going through a section with many tracks.,something containing train is: a train wreck,the sentence with train is: the doctor gave the man a [ train ] to breathe
What is different than < digestive > ?,the antonym for digestive is fibrous,a sentence with digestive is: a sharp acid is different from a [ digestive ],the antonym for digestive is gaseous
What is similar to < clam > ?,the synonym for clam is fish,the synonym for clam is oyster,the synonym for clam is peaceful
What is unlike < invalidate > ?,the antonym for invalidate is corroborate,the antonym for invalidate is validate,the antonym for invalidate is validate
give me something i would hear as < elude > ?,the homonym for elude is illude,something you would hear as elude is: a thief [ eluded ] the police,the homonym for elude is allude
What is unlike < abdicate > ?,the antonym for abdicate is claim,the antonym for abdicate is assume,the antonym for abdicate is assume
expand on < chaetopod > ?,the definition of chaetopod is one of the chaetopoda.,chaetopod is a member of the class of annelid worms called chaetopods.,the definition of chaetopod is a member of a subclass of arthropods having a segmented body and a pair of jointed appendages to each segment.
What is the opposite of < musician > ?,the antonym for musician is accountant,the antonym for musician is nonmusician,the antonym for musician is nonmusician
what is a sentence that can be used to define < matrix > ?,the definition of matrix is the earthy or stony substance in which metallic ores or crystallized minerals are found,a sentence with matrix is: a deeply embedded root of a problem.,the definition of matrix is a rectangular array of numbers or symbols.
What is like < pneumatic > ?,the synonym for pneumatic is windy,the homonym for pneumatic is hydraulic,the synonym for pneumatic is airy
give me something that contains < circus > in it ?,a sentence with circus is: elephants performing during a circus .,something containing circus is: the [ circus ],a sentence with circus is: a giant [ circus ] will be appearing in town
give me something that contains < bathroom > in it ?,a sentence with bathroom is: add contemporary style to your bathroom with the wall hung toilet,something with bathroom in it is: a bathroom cabinet,"a sentence containing bathroom is: in the bathroom, the [ bathtub ] is full of water"
What is like < emotional > ?,the synonym for emotional is sensitive,the synonym for emotional is temperamental,the synonym for emotional is sensitive
what has a < baited > like ring to it ?,the homonym for baited is bait,a sentence with a baited like ring to it is: [ seven ] [ days ] [ after ] [ the ] [ baited ] [ trap ],the homonym for baited is read
< hyperaesthesia > means what ?,the definition of hyperaesthesia is a state of exalted or morbidly increased sensibility of the body,the meaning of hyperaesthesia is abnormally sensitive to sound.,the definition of hyperaesthesia is the abnormal susceptibility to the stimulation of one or more of the senses.
What is different than < tribal > ?,the antonym for tribal is individual,the meaning of different than is a completely different culture.,the antonym for tribal is urban
give me something i would hear as < walks > ?,the homonym for walks is walk,"something you would hear as walks is a situation in which a person has a very fast gait, a way of walking characterized by a long, swinging stride.",the homonym for walks is quacks
< serang > means what ?,the definition of serang is the boatswain of a lascar or east ondian crew.,the definition of serang is a native of malay peninsula.,the definition of serang is a person in charge of a ship's rigging.
What is like < endemic > ?,the synonym for endemic is contagious,the synonym for endemic is native,the synonym for endemic is epidemic
give me something i would hear as < prince > ?,the homonym for prince is principle,the homonym for prince is print,the homonym for prince is print
give me something that contains < train > in it ?,a sentence with train is: the cargo train is slowing down as it approaches the next stop,the word containing train is trainman,a sentence with train in it is: the [ train ] roars through the station
What is different than < indispensable > ?,the antonym for indispensable is incidental,the difference between indispensable and different is that the [ indispensable ] [ is ] [ not ] [ different ] [ from ] [ different ],the antonym for indispensable is dispensible
What is akin to < groove > ?,the synonym for groove is flute,the homonym for groove is grove,the synonym for groove is valley
What is similar to < hone > ?,the synonym for hone is acquire,the homonym for hone is home,the synonym for hone is whet
What is like < allude > ?,the synonym for allude is insinuate,the homonym for allude is elude,the synonym for allude is hint
What is different than < encore > ?,the antonym for encore is over,the difference between encore and encore is encore is an extra performance by a performer to entertain an audience after the main part of the performance is over,the antonym for encore is finale
< outrage > means what ?,the definition of outrage is to commit outrage upon,the meaning of outrage is(n.) a violent disturbance of the peace by an unlawful assembly or by one or more persons.,the definition of outrage is the official order of punishment by legal authority.
give me something that contains < add > in it ?,a sentence with add is: attention to details and vibrant colours add to the appeal of these newly renovated buildings .,something that contains add in it is: to add fuel to the fire,a sentence with add in it is: a [ add ] of salt
What is like < contradiction > ?,the synonym for contradiction is conflict,the homonym for contradiction is contravention,the synonym for contradiction is paradox
expand on < conch > ?,the definition of conch is the external ear. see concha,"the expansion on conch is a marine mollusc with a spiral shell, living on corals and rocks.",the definition of conch is a large marine gastropod mollusk typically used as a horn.
What is similar to < simper > ?,the synonym for simper is whine,the synonym for simper is smile,the synonym for simper is grin
< rabbit > can be used how ?,a sentence with rabbit is: a chicken in a hoop with ears like a rabbit sits in the easter egg,a sentence with rabbit is: the [ rabbit ] is a small mammal with long ears.,a sentence with rabbit is: a [ rabbit ] hops from one hole to another.
What is unlike < admiration > ?,the antonym for admiration is loathing,the synonym for admiration is admiration,the antonym for admiration is indifference
What is akin to < slam > ?,the synonym for slam is hit,the homonym for slam is slam,the synonym for slam is shut
What is similar to < township > ?,the synonym for township is settlement,the homonym for township is town,the synonym for township is town
give me something that contains < toilet > in it ?,a sentence with toilet is: an entire bathroom that is completely white including a toilet and sink.,something that contains toilet is a toilet bowl.,a sentence with toilet is: the [ toilet ] overflows
what can one confuse with < maze > ?,the homonym for maze is made,one can confuse maze with mezzanine,the homonym for maze is maze
< port > can be used how ?,a sentence with port is: the harbour and port with pleasure boats moored and old buildings on the quay,a sentence with port is: [ port ] is a kind of wine.,a sentence with port is: the [ port ] is the sea-coast town.
< olibanum > means what ?,the definition of olibanum is the fragrant gum resin of various species of boswellia,the meaning of olibanum is frankincense,the definition of olibanum is frankincense.
give me something that contains < relationship > in it ?,a sentence with relationship is: symbiosis a relationship in which different organisms live in close association with each other,something that contains relationship in it is: [ relation ],a sentence with relationship is: a [ relationship ] between two people is a very intimate thing
< bathroom > can be used how ?,a sentence with bathroom is: two toilets in small bathroom stalls with two sinks in a bathroom.,a sentence with bathroom is: the [ bathroom ] is the room where people take baths,a sentence with bathroom is: [ bathroom ] is a word for the room containing a bath
What is similar to < critique > ?,the synonym for critique is comment,the similar word for critique is discrimination,the synonym for critique is analysis
give me something that contains < fire > in it ?,a sentence with fire is: heavy smoke was still coming from the home about a hour after the fire started .,the thing containing fire is a firebrand,a sentence with fire is: a [ fire ] helmet
expand on < periodoscope > ?,the definition of periodoscope is a table or other means for calculating the periodical functions of women.,the periodoscope is an instrument for the examination of the interior of the body by means of which the presence of disease can be detected.,the definition of periodoscope is an instrument for viewing solar or lunar eclipses.
< rock > can be used how ?,a sentence with rock is: penguin resting on a rock,the sentence with < rock > is: the river [ rocks ] over stones,a sentence with rock is: a man's words are as [ rock ] to a woman
give me something that contains < stall > in it ?,a sentence with stall is: a stall where worshippers can buy flowers for offerings from a nun,something that contains stall in it is: a [ stall ] of books,a sentence with stall in it is: one of the horses in a race is held up by another
< birrus > means what ?,the definition of birrus is a coarse kind of thick woolen cloth,"the meaning of birrus is a white cloak worn by ancient roman senators, covering the whole body.",the definition of birrus is a coarse woolen cloak of the ancient romans.
What is akin to < halter > ?,the synonym for halter is top,the synonym for halter is informal,the synonym for halter is harness
give me something that contains < politician > in it ?,a sentence with politician is: politician announces that he is running to be president during an event .,something that contains politician is: all politicians are guilty of [ politician ],a sentence with politician is: [ politicians are all talk ]
give me something that contains < politician > in it ?,a sentence with politician is: politician and diplomat participate in an event,something that contains politician in it is the politician of the year.,a sentence with politician is: a [ politician ] can easily be bought off.
What is similar to < civic > ?,the synonym for civic is local,the similar word to civic is civil,the synonym for civic is civic
what can one confuse with < vane > ?,the homonym for vane is vain,the word one can confuse with vane is vein,the homonym for vane is gane
give me something that contains < day > in it ?,a sentence with day is: women are fishing in a lake during a foggy and rainy day,something containing day is: daylight,a sentence with day in it is: you can see the [ day ] through the window
What is akin to < rationale > ?,the synonym for rationale is action,the synonym for rationale is reason,the synonym for rationale is reason
What is unlike < punch > ?,the antonym for punch is hug,the homonym for punch is pump,the antonym for punch is push
What is like < naivety > ?,the synonym for naivety is gullibility,the homonym for naivety is knavishness,the synonym for naivety is artlessness
What is the opposite of < barley > ?,the antonym for barley is chaff,the antonym for barley is wheat,the antonym for barley is wheat
what can one confuse with < told > ?,the homonym for told is tolled,the homonym for told is cold,the homonym for told is tolled
< thumbscrew > means what ?,the definition of thumbscrew is an old instrument of torture for compressing the thumb by a screw,a sentence with thumbscrew is: a [ thumbscrew ] is a small instrument of torture.,the definition of thumbscrew is a tool used to tighten a screw.
< anaplerotic > means what ?,the definition of anaplerotic is a remedy which promotes such granulation.,the meaning of anaplerotic is supplying with oxygen.,the definition of anaplerotic is one that increases the amount of an essential substance in the body.
What is akin to < term > ?,the synonym for term is finish,the definition of akin is similar,the synonym for term is expression
make something with < golfer > ?,a sentence with golfer is: competitor and golfer share a joke walking to a fairway during event .,something with golfer is: a golf shot with a low trajectory and a short flight.,"a sentence with golfer is: a golfer fails to sink his putt, then curses his bad luck."
give me something i would hear as < row > ?,the homonym for row is rows,something you would hear as row is: the [ row ] over the exit poll,the homonym for row is wore
make something with < embassy > ?,a sentence with embassy is: religious leader meets military commander on saturday to open an embassy .,the sentence with embassy is: [ embassy ]s are a kind of [ residence ],a sentence with embassy is: a [ embassy ] is a building.
What is different than < emotional > ?,the antonym for emotional is unemotional,the synonym for emotional is temperamental,the antonym for emotional is cerebral
give me something i would hear as < bundt > ?,the homonym for bundt is bunt,the thing you would hear as bundt is: a bundt is a tube-shaped cake,the homonym for bundt is fount
give me something that contains < angel > in it ?,a sentence with angel is: like an angel flying through the storm clouds,something that contains angel in it is: the [ angel ] in the house of representatives is a figure with wings and a trumpet,a sentence with angel is: it was an [ angel ] that woke him
What is the opposite of < organise > ?,the antonym for organise is dirty,the antonym for organise is disorganise,the antonym for organise is disorganise
make something with < skin > ?,a sentence with skin is: a natural way to cleanse your skin .,something made with skin is: a condom.,a sentence with skin is: the [ skin ] of a snake provides leather.
expand on < paralbumin > ?,the definition of paralbumin is a proteidlike body found in the fluid from ovarian cysts and elsewhere. it is generally associated with a substance related to,"the expansion of paralbumin is an albuminoid globulin occurring in the blood of the horse and other animals, and in the urine of humans.",the definition of paralbumin is a particular kind of albumin.
< image > can be used how ?,a sentence with image is: image result for how to build a stone cottage,the usage of image is: any likeness or representation of a person or thing in a visible medium.,a sentence with image is: < image > can be used as part of a sentence.
what can one confuse with < kew > ?,the homonym for kew is key,a word that can be confused with kew is due,the homonym for kew is cue
< substance > means what ?,the definition of substance is that which underlies all outward manifestations,the meaning of substance is the visible material of which a thing is made.,the definition of substance is pus or matter discharged from a wound or pus-filled cavity; the fleshy part of the body; the main component of a thing.
What is akin to < abuse > ?,the synonym for abuse is misuse,the synonym for abuse is neglect,the synonym for abuse is condemnation
What is akin to < abuse > ?,the synonym for abuse is hurt,the word akin to abuse is usage,the synonym for abuse is maltreatment
< ticketing > means what ?,the definition of ticketing is a periodical sale of ore in the english mining districts,the meaning of ticketing is the act of giving out of [ tickets ],the definition of ticketing is the act or practice of issuing a ticket.
< verger > means what ?,the definition of verger is the official who takes care of the interior of a church building.,the meaning of verger is the person who carries the processional cross in a christian church.,the definition of verger is a church officer having charge of the order and the conduct of divine service.
< city > can be used how ?,a sentence with city is: map showing a city through indian state,the use of city is as a count noun.,a sentence with city is: the [ city ] is the place to be for live music.
What is like < metamorphosis > ?,the synonym for metamorphosis is transmutation,the homonym for metamorphosis is morphosis,the synonym for metamorphosis is transformation
< occident > means what ?,the definition of occident is the part of the horizon where the sun last appears in the evening,occident is one of the cardinal points of the compass. the opposite point of the east.,the defintion of occident is the western hemisphere and the countries of the west and the us and canada and mexico and central america and brazil and argentina and the caribbean and the atlantic ocean and the carribean sea and the gulf of mexico
What is the opposite of < trim > ?,the antonym for trim is fatten,the opposite of trim is untrimmed,the antonym for trim is slack
What is the opposite of < tour > ?,the antonym for tour is immobilize,the opposite of tour is a map,the antonym for tour is round
What is akin to < mantle > ?,the synonym for mantle is cloak,the synonym for mantle is cloak,the synonym for mantle is mantle
What is like < pontificate > ?,the synonym for pontificate is preach,the homonym for pontificate is petrify,the synonym for pontificate is preach
< larderer > means what ?,the definition of larderer is one in charge of the larder.,a larderer is a landlord who owns a great many houses.,the definition of larderer is a dealer in lard.
What is like < emotional > ?,the synonym for emotional is feeling,the homonym for emotional is emote,the synonym for emotional is emotional
What is similar to < critique > ?,the synonym for critique is study,the similar word to critique is critique,the synonym for critique is [ critique ]
What is like < tour > ?,the synonym for tour is visit,the homonym of tour is tower,the synonym for tour is circuit
What is similar to < mystical > ?,the synonym for mystical is ethereal,the similar word for mystical is occult,the synonym for mystical is spiritual
